generation,maxEv,aveEv,aveEvNotOne
269,5818,4711.56,5384.5
270,5818,4104.94,5052
271,5818,3340.75,4858.82
272,5818,3954.5,4866.85
273,5818,3379.5,4915.18
274,5818,4360.56,5366.62
275,5818,5103.69,5443.87
276,5818,3750.56,5454.91
277,5818,4307.31,5301.08
278,5818,4526.81,5173.36
279,5818,2807.19,4989.78
280,5818,4066.25,5004.38
281,5818,3304.56,4806.18
282,5818,3478.81,5059.64
283,5818,3020.5,4832.2
284,5818,3965.94,4880.92
285,5818,3339.75,4857.36
286,5818,3824.19,5098.58
287,5818,4320.69,4937.79
288,5818,4356.69,4978.93
289,5818,4157.88,4751.71
290,5818,4448.12,5083.43
291,5818,4045.5,5393.67
292,5818,3559.38,5176.82
293,5818,3689.44,5366
294,5818,4049.94,5399.58
295,5818,3672.69,5341.64
296,5818,3227.44,5163.3
297,5818,4457,5093.57
298,5818,4295.31,5286.31
299,5818,4741.69,5418.93
300,5818,4899.31,5599.07
301,5818,4033.75,5378
302,5818,3127.06,5558.44
303,5818,3095.31,5502
304,5818,4223.25,5630.67
305,5818,3295.31,5271.9
306,5818,3684.62,4912.5
307,5818,2979.56,4333.45
308,5818,3376.25,4501.33
309,5818,3773.88,5488.82
310,5818,4681.31,5349.93
311,5818,2976.62,5291
312,5818,3324.56,4835.27
313,5818,4169.69,4765.21
314,5818,3880.5,5173.67
315,5818,3962.62,5283.17
316,5818,4028.31,5370.75
317,5818,3581.62,5209.18
318,5818,2992.94,5320
319,5818,4204.12,5174.08
320,5818,3376.5,4910.82
321,5818,3538.06,4717.08
322,5818,3639.19,4851.92
323,5818,4151.38,4744.29
324,5818,4380.06,4672
325,5818,4724.19,5398.93
326,5818,4125.31,5077.08
327,5818,3805.06,5073.08
328,5818,4155.81,5114.62
329,5818,4162,5549
330,5818,3821.94,5558.73
331,5818,3995.94,5327.58
332,5818,3483.19,5066
333,5818,3597.12,5231.73
334,5818,4083.38,4666.57
335,5818,3867.25,5156
336,5818,3368.12,5388.4
337,5818,4441.56,5466.31
338,5818,4098.06,5043.54
339,5818,4207,5177.62
340,5818,4067.44,4648.36
341,5818,4711,5025
342,5818,3097.94,4956.1
343,5818,3568.06,5189.45
344,5818,3267.94,5228.1
345,5818,3949.25,5265.33
346,5818,3878.56,5171.08
347,5818,3522.62,5123.36
348,5818,4441.06,5465.69
349,5818,3571.25,5194.09
350,5818,4083.81,4667.07
351,5818,4084.25,4667.57
352,5818,3565.81,4388.46
353,5818,3265.62,4749.55
354,5818,4095.25,5040.08
355,5818,2889.12,4622
356,5818,4447.19,5082.36
357,5818,3940.44,5731.09
358,5818,4026.75,5368.67
359,5818,4435.75,5459.15
360,5818,4421.38,5441.46
361,5818,4125.31,5500.08
362,5818,3934.19,5245.25
363,5818,4794.06,5113.6
364,5818,3885.56,5180.42
365,5818,4793.38,5478
366,5818,3002.62,5337.22
367,5818,4006.19,4930.46
368,5818,4205.56,4806.21
369,5818,4360.19,4982.93
370,5818,3181.12,4626.64
371,5818,3839.25,5118.67
372,5818,3910.31,5213.42
373,5818,2843.88,5055
374,5818,3659.62,5322.64
375,5818,4915.75,5617.86
376,5818,3834.31,5576.73
377,5818,4910.06,5611.36
378,5818,3355.19,5367.7
379,5818,3141.31,5583.78
380,5818,3379.19,4914.73
381,5818,4086.44,5029.23
382,5818,3853.31,4742.31
383,5818,2660.5,4256.2
384,5818,3947.12,5262.5
385,5818,4283.38,4895.14
386,5818,4286.81,4899.07
387,5818,4314.12,4601.67
388,5818,3789,4663.15
389,5818,3748.88,4998.17
