generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
5,3776,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
6,4132,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,4144,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1
6,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,3465,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
6,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
6,4203,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
6,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1
7,4185,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,4528,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
7,3901,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1
7,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,3600,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
7,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,3686,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
7,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
