generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
5,3530,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
6,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
6,3319,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
6,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1
6,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
6,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
6,3808,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
6,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
6,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
6,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1
6,4459,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
6,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1
6,2387,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
6,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
6,3938,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
6,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
6,3965,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
7,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
7,3599,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
7,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
7,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1
7,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
7,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1
7,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
7,3503,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
7,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
7,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
7,3938,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
7,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
7,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
7,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
7,3319,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
7,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
8,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1
8,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
8,3814,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
8,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
8,4487,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
8,3503,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
8,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
8,4681,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
8,3817,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
8,3503,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
8,3998,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8,2646,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
8,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
8,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
8,3599,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
8,3319,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
9,3985,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
9,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1
9,4456,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
9,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
9,4632,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
9,3728,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1
9,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,4442,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,3274,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
9,3503,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,4681,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
9,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
9,3503,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
